"pais","estado","siglas","regiao","ano","feminicidio_tentado","feminicidio_consumado"
"Brasil","Acre","AC","Norte","2024","10","6"
"Brasil","Alagoas","AL","Nordeste","2024","25","14"
"Brasil","Amapá","AP","Norte","2024","5","3"
"Brasil","Amazonas","AM","Norte","2024","35","30"
"Brasil","Bahia","BA","Nordeste","2024","65","57"
"Brasil","Ceará","CE","Nordeste","2024","20","30"
"Brasil","Distrito Federal","DF","Centro-Oeste","2024","26","13"
"Brasil","Espírito Santo","ES","Sudeste","2024","25","30"
"Brasil","Goiás","GO","Centro-Oeste","2024","44","30"
"Brasil","Maranhão","MA","Nordeste","2024","26","13"
"Brasil","Mato Grosso","MT","Centro-Oeste","2024","60","29"
"Brasil","Mato Grosso do Sul","MS","Centro-Oeste","2024","61","30"
"Brasil","Minas Gerais","MG","Sudeste","2024","79","85"
"Brasil","Pará","PA","Norte","2024","52","30"
"Brasil","Paraíba","PB","Nordeste","2024","22","18"
"Brasil","Paraná","PR","Sul","2024","99","69"
"Brasil","Pernambuco","PE","Nordeste","2024","30","48"
"Brasil","Piauí","PI","Nordeste","2024","24","20"
"Brasil","Rio de Janeiro","RJ","Sudeste","2024","57","63"
"Brasil","Rio Grande do Norte","RN","Nordeste","2024","11","12"
"Brasil","Rio Grande do Sul","RS","Sul","2024","51","34"
"Brasil","Rondônia","RO","Norte","2024","29","11"
"Brasil","Roraima","RR","Norte","2024","6","4"
"Brasil","Santa Catarina","SC","Sul","2024","97","46"
"Brasil","São Paulo","SP","Sudeste","2024","133","150"
"Brasil","Sergipe","SE","Nordeste","2024","10","7"
"Brasil","Tocantins","TO","Norte","2024","13","10"
"Brasil","Acre","AC","Norte","2023","26","10"
"Brasil","Alagoas","AL","Nordeste","2023","68","18"
"Brasil","Amapá","AP","Norte","2023","50","4"
"Brasil","Amazonas","AM","Norte","2023","66","23"
"Brasil","Bahia","BA","Nordeste","2023","209","108"
"Brasil","Ceará","CE","Nordeste","2023","97","42"
"Brasil","Distrito Federal","DF","Centro-Oeste","2023","105","33"
"Brasil","Espírito Santo","ES","Sudeste","2023","79","35"
"Brasil","Goiás","GO","Centro-Oeste","2023","157","56"
"Brasil","Maranhão","MA","Nordeste","2023","59","50"
"Brasil","Mato Grosso","MT","Centro-Oeste","2023","60","46"
"Brasil","Mato Grosso do Sul","MS","Centro-Oeste","2023","125","30"
"Brasil","Minas Gerais","MG","Sudeste","2023","168","183"
"Brasil","Pará","PA","Norte","2023","242","57"
"Brasil","Paraíba","PB","Nordeste","2023","35","34"
"Brasil","Paraná","PR","Sul","2023","74","81"
"Brasil","Pernambuco","PE","Nordeste","2023","104","81"
"Brasil","Piauí","PI","Nordeste","2023","59","28"
"Brasil","Rio de Janeiro","RJ","Sudeste","2023","308","99"
"Brasil","Rio Grande do Norte","RN","Nordeste","2023","42","24"
"Brasil","Rio Grande do Sul","RS","Sul","2023","235","87"
"Brasil","Rondônia","RO","Norte","2023","58","21"
"Brasil","Roraima","RR","Norte","2023","27","6"
"Brasil","Santa Catarina","SC","Sul","2023","233","56"
"Brasil","São Paulo","SP","Sudeste","2023","153","221"
"Brasil","Sergipe","SE","Nordeste","2023","61","16"
"Brasil","Tocantins","TO","Norte","2023","50","18"
"Brasil","Acre","AC","Norte","2022","17","9"
"Brasil","Alagoas","AL","Nordeste","2022","55","31"
"Brasil","Amapá","AP","Norte","2022","45","9"
"Brasil","Amazonas","AM","Norte","2022","44","21"
"Brasil","Bahia","BA","Nordeste","2022","183","107"
"Brasil","Ceará","CE","Nordeste","2022","102","29"
"Brasil","Distrito Federal","DF","Centro-Oeste","2022","87","22"
"Brasil","Espírito Santo","ES","Sudeste","2022","70","35"
"Brasil","Goiás","GO","Centro-Oeste","2022","162","55"
"Brasil","Maranhão","MA","Nordeste","2022","44","69"
"Brasil","Mato Grosso","MT","Centro-Oeste","2022","82","47"
"Brasil","Mato Grosso do Sul","MS","Centro-Oeste","2022","127","44"
"Brasil","Minas Gerais","MG","Sudeste","2022","194","175"
"Brasil","Pará","PA","Norte","2022","156","54"
"Brasil","Paraíba","PB","Nordeste","2022","28","26"
"Brasil","Paraná","PR","Sul","2022","69","77"
"Brasil","Pernambuco","PE","Nordeste","2022","113","72"
"Brasil","Piauí","PI","Nordeste","2022","92","24"
"Brasil","Rio de Janeiro","RJ","Sudeste","2022","293","111"
"Brasil","Rio Grande do Norte","RN","Nordeste","2022","37","16"
"Brasil","Rio Grande do Sul","RS","Sul","2022","261","111"
"Brasil","Rondônia","RO","Norte","2022","41","23"
"Brasil","Roraima","RR","Norte","2022","15","3"
"Brasil","Santa Catarina","SC","Sul","2022","182","57"
"Brasil","São Paulo","SP","Sudeste","2022","","195"
"Brasil","Sergipe","SE","Nordeste","2022","56","19"
"Brasil","Tocantins","TO","Norte","2022","57","14"
"Brasil","Acre","AC","Norte","2021","19","12"
"Brasil","Alagoas","AL","Nordeste","2021","33","25"
"Brasil","Amapá","AP","Norte","2021","28","4"
"Brasil","Amazonas","AM","Norte","2021","36","23"
"Brasil","Bahia","BA","Nordeste","2021","120","93"
"Brasil","Ceará","CE","Nordeste","2021","70","31"
"Brasil","Distrito Federal","DF","Centro-Oeste","2021","76","25"
"Brasil","Espírito Santo","ES","Sudeste","2021","53","38"
"Brasil","Goiás","GO","Centro-Oeste","2021","144","54"
"Brasil","Maranhão","MA","Nordeste","2021","95","58"
"Brasil","Mato Grosso","MT","Centro-Oeste","2021","","43"
"Brasil","Mato Grosso do Sul","MS","Centro-Oeste","2021","96","33"
"Brasil","Minas Gerais","MG","Sudeste","2021","181","155"
"Brasil","Pará","PA","Norte","2021","96","67"
"Brasil","Paraíba","PB","Nordeste","2021","28","32"
"Brasil","Paraná","PR","Sul","2021","64","75"
"Brasil","Pernambuco","PE","Nordeste","2021","90","87"
"Brasil","Piauí","PI","Nordeste","2021","79","37"
"Brasil","Rio de Janeiro","RJ","Sudeste","2021","264","85"
"Brasil","Rio Grande do Norte","RN","Nordeste","2021","30","20"
"Brasil","Rio Grande do Sul","RS","Sul","2021","255","96"
"Brasil","Rondônia","RO","Norte","2021","17","16"
"Brasil","Roraima","RR","Norte","2021","5","5"
"Brasil","Santa Catarina","SC","Sul","2021","147","55"
"Brasil","São Paulo","SP","Sudeste","2021","","136"
"Brasil","Sergipe","SE","Nordeste","2021","50","20"
"Brasil","Tocantins","TO","Norte","2021","105","22"
"Brasil","Acre","AC","Norte","2020","18","12"
"Brasil","Alagoas","AL","Nordeste","2020","27","35"
"Brasil","Amapá","AP","Norte","2020","21","9"
"Brasil","Amazonas","AM","Norte","2020","33","16"
"Brasil","Bahia","BA","Nordeste","2020","141","113"
"Brasil","Ceará","CE","Nordeste","2020","52","27"
"Brasil","Distrito Federal","DF","Centro-Oeste","2020","67","17"
"Brasil","Espírito Santo","ES","Sudeste","2020","","26"
"Brasil","Goiás","GO","Centro-Oeste","2020","123","44"
"Brasil","Maranhão","MA","Nordeste","2020","48","65"
"Brasil","Mato Grosso","MT","Centro-Oeste","2020","","62"
"Brasil","Mato Grosso do Sul","MS","Centro-Oeste","2020","84","41"
"Brasil","Minas Gerais","MG","Sudeste","2020","190","151"
"Brasil","Pará","PA","Norte","2020","95","67"
"Brasil","Paraíba","PB","Nordeste","2020","33","36"
"Brasil","Paraná","PR","Sul","2020","60","73"
"Brasil","Pernambuco","PE","Nordeste","2020","","75"
"Brasil","Piauí","PI","Nordeste","2020","59","31"
"Brasil","Rio de Janeiro","RJ","Sudeste","2020","270","78"
"Brasil","Rio Grande do Norte","RN","Nordeste","2020","20","13"
"Brasil","Rio Grande do Sul","RS","Sul","2020","317","80"
"Brasil","Rondônia","RO","Norte","2020","33","14"
"Brasil","Roraima","RR","Norte","2020","8","9"
"Brasil","Santa Catarina","SC","Sul","2020","151","57"
"Brasil","São Paulo","SP","Sudeste","2020","","179"
"Brasil","Sergipe","SE","Nordeste","2020","52","14"
"Brasil","Tocantins","TO","Norte","2020","38","21"
