"pais","estado","siglas","ano","tentativa_homicidio","consumado_homicidio","","","","",""
"Brasil","Acre","AC","2020","42","31","","","","",""
"Brasil","Alagoas","AL","2020","115","98","","","","",""
"Brasil","Amapá","AP","2020","60","20","","","","",""
"Brasil","Amazonas","AM","2020","30","68","","","","",""
"Brasil","Bahia","BA","2020","509","447","","","","",""
"Brasil","Ceará","CE","2020","285","329","","","","",""
"Brasil","Distrito Federal","DF","2020","201","39","","","","",""
"Brasil","Espírito Santo","ES","2020","404","102","","","","",""
"Brasil","Goiás","GO","2020","333","106","","","","",""
"Brasil","Maranhão","MA","2020","179","125","","","","",""
"Brasil","Mato Grosso","MT","2020","249","104","","","","",""
"Brasil","Mato Grosso do Sul","MS","2020","187","111","","","","",""
"Brasil","Minas Gerais","MG","2020","343","437","","","","",""
"Brasil","Pará","PA","2020","294","181","","","","",""
"Brasil","Paraíba","PB","2020","129","94","","","","",""
"Brasil","Paraná","PR","2020","325","229","","","","",""
"Brasil","Pernambuco","PE","2020","0","228","","","","",""
"Brasil","Piauí","PI","2020","85","61","","","","",""
"Brasil","Rio de Janeiro","RJ","2020","273","200","","","","",""
"Brasil","Rio Grande do Norte","RN","2020","32","75","","","","",""
"Brasil","Rio Grande do Sul","RS","2020","692","233","","","","",""
"Brasil","Rondônia","RO","2020","161","56","","","","",""
"Brasil","Roraima","RR","2020","59","16","","","","",""
"Brasil","Santa Catarina","SC","2020","365","104","","","","",""
"Brasil","São Paulo","SP","2020","368","424","","","","",""
"Brasil","Sergipe","SE","2020","135","42","","","","",""
"Brasil","Tocantins","TO","2020","120","39","","","","",""
"Brasil","Acre","AC","2021","60","29","","","","",""
"Brasil","Alagoas","AL","2021","118","73","","","","",""
"Brasil","Amapá","AP","2021","74","26","","","","",""
"Brasil","Amazonas","AM","2021","86","109","","","","",""
"Brasil","Bahia","BA","2021","565","424","","","","",""
"Brasil","Ceará","CE","2021","294","339","","","","",""
"Brasil","Distrito Federal","DF","2021","179","43","","","","",""
"Brasil","Espírito Santo","ES","2021","375","108","","","","",""
"Brasil","Goiás","GO","2021","316","131","","","","",""
"Brasil","Maranhão","MA","2021","232","134","","","","",""
"Brasil","Mato Grosso","MT","2021","229","85","","","","",""
"Brasil","Mato Grosso do Sul","MS","2021","156","70","","","","",""
"Brasil","Minas Gerais","MG","2021","418","298","","","","",""
"Brasil","Pará","PA","2021","211","200","","","","",""
"Brasil","Paraíba","PB","2021","112","83","","","","",""
"Brasil","Paraná","PR","2021","342","208","","","","",""
"Brasil","Pernambuco","PE","2021","301","230","","","","",""
"Brasil","Piauí","PI","2021","162","73","","","","",""
"Brasil","Rio de Janeiro","RJ","2021","502","247","","","","",""
"Brasil","Rio Grande do Norte","RN","2021","295","75","","","","",""
"Brasil","Rio Grande do Sul","RS","2021","620","235","","","","",""
"Brasil","Rondônia","RO","2021","96","64","","","","",""
"Brasil","Roraima","RR","2021","87","31","","","","",""
"Brasil","Santa Catarina","SC","2021","348","107","","","","",""
"Brasil","São Paulo","SP","2021","336","366","","","","",""
"Brasil","Sergipe","SE","2021","144","42","","","","",""
"Brasil","Tocantins","TO","2021","70","39","","","","",""
"Brasil","Acre","AC","2022","71","21","","","","",""
"Brasil","Alagoas","AL","2022","162","71","","","","",""
"Brasil","Amapá","AP","2022","142","25","","","","",""
"Brasil","Amazonas","AM","2022","126","108","","","","",""
"Brasil","Bahia","BA","2022","591","406","","","","",""
